sim_type,regrowth,klepts,foragers,variable,value,value_cut
facultative,0.001,0.002,0.02,pc_intake_forager,0.000623749842499843,"(0,0.01]"
facultative,0.001,0.001,0.019,pc_intake_forager,0.00175322099899043,"(0,0.01]"
facultative,0.001,0.003,0.005,pc_intake_forager,0.000165482557369658,"(0,0.01]"
facultative,0.001,0.001,0.015,pc_intake_forager,0.00043497520683429,"(0,0.01]"
facultative,0.001,0.018,0.012,pc_intake_forager,0.00271795046345752,"(0,0.01]"
facultative,0.001,0.003,0.008,pc_intake_forager,0.000308208627621253,"(0,0.01]"
facultative,0.001,0.016,0.004,pc_intake_forager,0.00469961440616068,"(0,0.01]"
facultative,0.001,0.015,0.01,pc_intake_forager,0.00808262836114203,"(0,0.01]"
facultative,0.001,0.014,0.01,pc_intake_forager,0.000388310954385837,"(0,0.01]"
facultative,0.001,0.016,0.01,pc_intake_forager,0.00330199919738997,"(0,0.01]"
facultative,0.001,0.013,0.018,pc_intake_forager,0.000412473189242699,"(0,0.01]"
facultative,0.001,0.011,0.015,pc_intake_forager,0.0012052032683344,"(0,0.01]"
facultative,0.001,0.009,0.016,pc_intake_forager,0.00125696192842186,"(0,0.01]"
facultative,0.001,0.01,0.002,pc_intake_forager,0.00171172365049916,"(0,0.01]"
facultative,0.001,0.001,0.017,pc_intake_forager,0.000364547732968786,"(0,0.01]"
facultative,0.001,0.012,0.014,pc_intake_forager,0.00797691805448439,"(0,0.01]"
facultative,0.001,0.014,0.005,pc_intake_forager,0.00530415865884849,"(0,0.01]"
facultative,0.001,0.002,0.019,pc_intake_forager,0.00133469166324871,"(0,0.01]"
facultative,0.001,0.001,0.01,pc_intake_forager,0.000670655290044557,"(0,0.01]"
facultative,0.001,0,0.015,pc_intake_forager,0.000879156010230179,"(0,0.01]"
facultative,0.001,0.006,0.019,pc_intake_forager,0.00147779918343043,"(0,0.01]"
facultative,0.001,0.001,0.007,pc_intake_forager,0.000718390804597701,"(0,0.01]"
facultative,0.001,0.016,0.014,pc_intake_forager,0.00719096401365905,"(0,0.01]"
facultative,0.001,0.008,0.022,pc_intake_forager,0.00245590714853208,"(0,0.01]"
facultative,0.001,0.002,0.006,pc_intake_forager,0.000121359223300971,"(0,0.01]"
facultative,0.001,0,0.016,pc_intake_forager,0,
facultative,0.001,0.002,0.018,pc_intake_forager,0.000744061713365197,"(0,0.01]"
facultative,0.001,0.018,0.008,pc_intake_forager,0.00668159001492335,"(0,0.01]"
facultative,0.001,0.014,0.015,pc_intake_forager,0.00765336724795783,"(0,0.01]"
facultative,0.001,0.018,0.013,pc_intake_forager,0.000675753393144698,"(0,0.01]"
facultative,0.001,0.012,0.017,pc_intake_forager,0.00155234984589546,"(0,0.01]"
facultative,0.001,0.01,0.004,pc_intake_forager,0.00458565589000372,"(0,0.01]"
facultative,0.001,0,0.011,pc_intake_forager,0.000469924812030075,"(0,0.01]"
facultative,0.001,0.014,0.006,pc_intake_forager,0.00747669105144755,"(0,0.01]"
facultative,0.001,0.001,0.014,pc_intake_forager,0.00041632160110421,"(0,0.01]"
facultative,0.001,0.002,0.017,pc_intake_forager,0.000566812224539345,"(0,0.01]"
facultative,0.001,0.004,0.006,pc_intake_forager,0.000169709304982011,"(0,0.01]"
facultative,0.001,0.015,0.008,pc_intake_forager,0.00618535314091168,"(0,0.01]"
facultative,0.001,0.002,0.007,pc_intake_forager,8.58369098712447e-05,"(0,0.01]"
facultative,0.001,0.009,0.022,pc_intake_forager,0.00232590987479329,"(0,0.01]"
facultative,0.001,0.015,0.009,pc_intake_forager,0.00769049631799172,"(0,0.01]"
facultative,0.001,0.01,0.018,pc_intake_forager,0.00155553323928772,"(0,0.01]"
facultative,0.001,0.004,0.005,pc_intake_forager,0.000146426667106428,"(0,0.01]"
facultative,0.001,0.011,0.004,pc_intake_forager,0.00430499961505694,"(0,0.01]"
facultative,0.001,0.003,0.021,pc_intake_forager,0.00184028815742371,"(0,0.01]"
facultative,0.001,0.002,0.022,pc_intake_forager,0.00251458387715495,"(0,0.01]"
facultative,0.001,0.01,0.019,pc_intake_forager,0.0013674630535749,"(0,0.01]"
facultative,0.001,0.019,0.015,pc_intake_forager,0.00127272727272727,"(0,0.01]"
facultative,0.001,0.006,0.023,pc_intake_forager,0.00260816301983098,"(0,0.01]"
facultative,0.001,0.014,0.013,pc_intake_forager,0.00108876484922154,"(0,0.01]"
facultative,0.001,0.007,0.003,pc_intake_forager,0.00395622895622896,"(0,0.01]"
facultative,0.001,0.005,0.004,pc_intake_forager,0,
facultative,0.001,0.015,0.017,pc_intake_forager,0.0018927668936213,"(0,0.01]"
facultative,0.001,0.01,0.02,pc_intake_forager,0.00175249449719973,"(0,0.01]"
facultative,0.001,0.016,0.005,pc_intake_forager,0.00541927465346561,"(0,0.01]"
facultative,0.001,0.011,0.018,pc_intake_forager,0.00162724365410195,"(0,0.01]"
facultative,0.001,0.004,0.004,pc_intake_forager,0,
facultative,0.001,0.002,0.016,pc_intake_forager,0.000680642722584882,"(0,0.01]"
facultative,0.001,0.011,0.003,pc_intake_forager,0.00332850691212466,"(0,0.01]"
facultative,0.001,0.007,0.021,pc_intake_forager,0.00135583920337654,"(0,0.01]"
facultative,0.001,0.001,0.016,pc_intake_forager,0.000382910695653006,"(0,0.01]"
facultative,0.001,0.004,0.022,pc_intake_forager,0.00231115661730171,"(0,0.01]"
facultative,0.001,0.003,0.02,pc_intake_forager,0.00228018091085688,"(0,0.01]"
facultative,0.001,0.017,0.014,pc_intake_forager,0.000625612639105115,"(0,0.01]"
facultative,0.001,0.014,0.025,pc_intake_forager,0.00824394007828967,"(0,0.01]"
facultative,0.001,0.008,0.019,pc_intake_forager,0.00160729158613876,"(0,0.01]"
facultative,0.001,0.008,0.002,pc_intake_forager,0.00167989417989418,"(0,0.01]"
facultative,0.001,0.019,0.008,pc_intake_forager,0.00586529216685293,"(0,0.01]"
facultative,0.001,0.006,0.001,pc_intake_forager,0,
facultative,0.001,0.005,0.021,pc_intake_forager,0.00163222976181552,"(0,0.01]"
facultative,0.001,0.016,0.012,pc_intake_forager,0.00317142181152391,"(0,0.01]"
facultative,0.001,0.015,0.016,pc_intake_forager,0.00102245315762771,"(0,0.01]"
facultative,0.001,0.006,0.021,pc_intake_forager,0.00135560030115206,"(0,0.01]"
facultative,0.001,0.019,0.01,pc_intake_forager,0.00509946402803546,"(0,0.01]"
facultative,0.001,0.015,0.012,pc_intake_forager,0.00902679642471117,"(0,0.01]"
facultative,0.001,0.003,0.024,pc_intake_forager,0.0030882578959502,"(0,0.01]"
facultative,0.001,0.019,0.011,pc_intake_forager,0,
facultative,0.001,0.01,0.024,pc_intake_forager,0,
facultative,0.001,0.009,0.021,pc_intake_forager,0.00282937526919321,"(0,0.01]"
facultative,0.001,0.003,0.003,pc_intake_forager,0,
facultative,0.001,0.002,0.025,pc_intake_forager,0,
facultative,0.001,0.015,0.013,pc_intake_forager,0.016453098215527,"(0.01,0.02]"
facultative,0.001,0.017,0.008,pc_intake_forager,0.00397505671398445,"(0,0.01]"
facultative,0.001,0.006,0.022,pc_intake_forager,0.00130143687459101,"(0,0.01]"
facultative,0.001,0.017,0.007,pc_intake_forager,0.00617288350360339,"(0,0.01]"
facultative,0.001,0.013,0.022,pc_intake_forager,0,
facultative,0.001,0.014,0.017,pc_intake_forager,0.0019253307541221,"(0,0.01]"
facultative,0.001,0.001,0.008,pc_intake_forager,0.000581625581625582,"(0,0.01]"
facultative,0.001,0.012,0.019,pc_intake_forager,0.00209650874664164,"(0,0.01]"
facultative,0.001,0.014,0.016,pc_intake_forager,0.0011686225269269,"(0,0.01]"
facultative,0.001,0.001,0.006,pc_intake_forager,0,
facultative,0.001,0.007,0.03,pc_intake_forager,0.0206185567010309,"(0.02,0.03]"
facultative,0.001,0.015,0.007,pc_intake_forager,0.00726925752809869,"(0,0.01]"
facultative,0.001,0.02,0.013,pc_intake_forager,0.00989756367663344,"(0,0.01]"
facultative,0.001,0.018,0.011,pc_intake_forager,0.00541685410106463,"(0,0.01]"
facultative,0.001,0.005,0.025,pc_intake_forager,0.00177469135802469,"(0,0.01]"
facultative,0.001,0.012,0.022,pc_intake_forager,0.00224892478413605,"(0,0.01]"
facultative,0.001,0.067,0.012,pc_intake_forager,0,
facultative,0.001,0.001,0.009,pc_intake_forager,0,
facultative,0.001,0.013,0.017,pc_intake_forager,0.00203736255682377,"(0,0.01]"
facultative,0.001,0.005,0.022,pc_intake_forager,0.00180770138971832,"(0,0.01]"
facultative,0.001,0.002,0.004,pc_intake_forager,0,
facultative,0.001,0.014,0.002,pc_intake_forager,0.00204396786098339,"(0,0.01]"
facultative,0.001,0.012,0.02,pc_intake_forager,0.00239409632890343,"(0,0.01]"
facultative,0.001,0,0.009,pc_intake_forager,0,
facultative,0.001,0.009,0.02,pc_intake_forager,0.0020438849542632,"(0,0.01]"
facultative,0.001,0.004,0.003,pc_intake_forager,0.0277777777777778,"(0.02,0.03]"
facultative,0.001,0.015,0.015,pc_intake_forager,0.00135213517665131,"(0,0.01]"
facultative,0.001,0.015,0.004,pc_intake_forager,0.00493207914810702,"(0,0.01]"
facultative,0.001,0.016,0.007,pc_intake_forager,0.0042218165689872,"(0,0.01]"
facultative,0.001,0.011,0.019,pc_intake_forager,0.00642972304525787,"(0,0.01]"
facultative,0.001,0.002,0.005,pc_intake_forager,0,
facultative,0.001,0.005,0.023,pc_intake_forager,0.00241992118636856,"(0,0.01]"
facultative,0.001,0.015,0.018,pc_intake_forager,0.000991060858097679,"(0,0.01]"
facultative,0.001,0.014,0.018,pc_intake_forager,0.000695025826527872,"(0,0.01]"
facultative,0.001,0.008,0.023,pc_intake_forager,0.00320428359477596,"(0,0.01]"
facultative,0.001,0.004,0.024,pc_intake_forager,0.00212322838905117,"(0,0.01]"
facultative,0.001,0.03,0.017,pc_intake_forager,0.0175438596491228,"(0.01,0.02]"
